Date,Open,High,Low,Close*,Adj Close**,Volume,Risk,Variance,Total Return,Year,StdDev,Month
01/12/2022,4087.14,4100.96,3918.39,4019.65,4019.65,38185650000,282.6410385,79885.95662,0,2022,282.641,12
31/10/2022,3901.79,4080.11,3698.15,4080.11,4080.11,92671910000,341.1998617,116417.3456,1.504111054,2022,282.641,10
30/09/2022,3609.78,3905.42,3491.58,3871.98,3871.98,95823760000,359.9355511,129553.6009,-5.101087961,2022,282.641,9
31/08/2022,3936.73,4119.28,3584.13,3585.62,3585.62,94241020000,362.2747255,131242.9767,-7.395699358,2022,282.641,8
31/07/2022,4112.38,4325.28,3954.53,3955,3955,92252350000,294.2891711,86606.11621,10.30170514,2022,282.641,7
30/06/2022,3781,4140.15,3721.56,4130.29,4130.29,81688320000,275.9084146,76125.45323,4.432111252,2022,282.641,6
31/05/2022,4149.78,4177.51,3636.87,3785.38,3785.38,1.06E+11,265.9232735,70715.18737,-8.350745347,2022,282.641,5
30/04/2022,4130.61,4307.66,3810.32,4132.15,4132.15,1.09E+11,191.4014955,36634.5325,9.160771178,2022,282.641,4
31/03/2022,4540.32,4593.45,4124.28,4131.93,4131.93,90367840000,182.1671736,33184.87913,-0.005324105,2022,282.641,3
01/03/2022,4363.14,4637.3,4157.87,4530.41,4530.41,1.24E+11,175.1442385,30675.50428,9.643919427,2022,282.641,3
01/02/2022,4519.57,4595.31,4114.65,4373.94,4373.94,92667710000,217.4881343,47301.08857,-3.453771292,2022,282.641,2
01/01/2022,4778.14,4818.62,4222.62,4515.55,4515.55,95562890000,274.9323723,75587.80932,3.23758442,2022,282.641,1
01/12/2021,4602.82,4808.93,4495.12,4766.18,4766.18,92750180000,322.9951732,104325.8819,5.550375923,2021,323,12
31/10/2021,4610.62,4743.83,4560,4567,4567,88268840000,315.966204,99834.64204,-4.179028069,2021,323,10
30/09/2021,4317.16,4608.08,4278.94,4605.38,4605.38,80253600000,332.1122208,110298.5272,0.840376615,2021,323,9
31/08/2021,4528.8,4545.85,4305.91,4307.54,4307.54,85528860000,374.2183083,140039.3423,-6.467218775,2021,323,8
31/07/2021,4406.86,4537.36,4367.73,4522.68,4522.68,80500760000,402.9219347,162346.0855,4.99449802,2021,323,7
30/06/2021,4300.73,4429.97,4233.13,4395.26,4395.26,84255620000,372.1546357,138499.0729,-2.817356081,2021,323,6
31/05/2021,4216.52,4302.43,4164.4,4297.5,4297.5,1.03E+11,361.1671556,130441.7143,-2.224214267,2021,323,5
30/04/2021,4191.98,4238.04,4056.88,4204.11,4204.11,88321860000,360.6093552,130039.1071,-2.173123909,2021,323,4
31/03/2021,3992.78,4218.78,3992.78,4181.17,4181.17,83124090000,353.1126776,124688.5631,-0.545656512,2021,323,3
01/03/2021,3842.51,3994.41,3723.34,3972.89,3972.89,1.22E+11,336.675013,113350.0644,-4.98138081,2021,323,3
01/02/2021,3731.17,3950.43,3725.62,3811.15,3811.15,99082320000,375.0481044,140661.0806,-4.071091825,2021,323,2
01/01/2021,3764.61,3870.9,3662.71,3714.24,3714.24,1.06E+11,356.0166404,126747.8482,-2.542802041,2021,323,1
